"","X","id","Gender","Customer.Type","Age","Type.of.Travel","Class","Flight.Distance","Inflight.wifi.service","Departure.Arrival.time.convenient","Ease.of.Online.booking","Gate.location","Food.and.drink","Online.boarding","Seat.comfort","Inflight.entertainment","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Inflight.service","Cleanliness","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","satisfaction"
"47",46,70521,"Female","Loyal Customer",60,"Business travel","Business",1889,2,2,3,2,3,5,4,5,5,5,5,5,5,3,0,0,"satisfied"
"48",47,96283,"Female","Loyal Customer",59,"Personal Travel","Eco",460,2,5,2,5,3,3,4,5,5,2,4,1,5,2,4,2,"neutral or dissatisfied"
"49",48,117993,"Female","Loyal Customer",49,"Business travel","Business",3295,4,4,3,4,2,5,4,5,5,5,5,5,5,3,0,4,"satisfied"
"50",49,74703,"Female","Loyal Customer",44,"Personal Travel","Eco",1205,2,4,2,3,4,4,3,4,4,2,4,2,4,2,0,0,"neutral or dissatisfied"
"51",50,110840,"Female","Loyal Customer",58,"Personal Travel","Eco Plus",990,3,5,2,3,3,4,5,1,1,2,1,5,1,3,0,0,"neutral or dissatisfied"
"52",51,88249,"Male","disloyal Customer",24,"Business travel","Business",444,4,0,4,2,2,4,2,2,5,3,5,3,5,2,20,32,"satisfied"
"53",52,125877,"Female","Loyal Customer",53,"Business travel","Eco",520,4,2,2,2,3,3,4,4,4,4,4,3,4,3,17,0,"satisfied"
"54",53,83968,"Male","Loyal Customer",56,"Business travel","Eco",321,2,3,4,3,2,2,2,2,2,5,3,3,3,2,0,0,"neutral or dissatisfied"
"55",54,122719,"Female","Loyal Customer",30,"Business travel","Business",651,3,3,4,3,5,5,5,5,4,5,4,3,5,5,0,0,"satisfied"
"57",56,45542,"Male","Loyal Customer",27,"Business travel","Business",566,3,3,3,3,5,5,5,5,4,3,1,1,1,5,0,0,"satisfied"
"59",58,122093,"Female","Loyal Customer",32,"Personal Travel","Eco",130,3,0,3,3,4,3,5,4,2,2,4,5,3,4,3,4,"neutral or dissatisfied"
"60",59,121454,"Male","disloyal Customer",36,"Business travel","Eco",331,2,0,2,1,1,2,1,1,4,3,4,1,3,1,0,0,"neutral or dissatisfied"
"62",61,75235,"Female","Loyal Customer",70,"Personal Travel","Eco",1829,1,4,1,1,2,5,5,5,5,1,5,4,5,3,0,0,"neutral or dissatisfied"
"63",62,88653,"Female","Loyal Customer",55,"Personal Travel","Eco",646,3,2,3,4,4,3,4,5,5,3,5,4,5,3,0,3,"neutral or dissatisfied"
"65",64,38339,"Female","Loyal Customer",19,"Business travel","Business",2738,5,5,5,5,3,4,3,3,5,3,3,1,2,3,0,0,"satisfied"
"66",65,46063,"Female","Loyal Customer",53,"Personal Travel","Eco Plus",964,1,5,1,2,4,4,5,4,4,1,4,5,4,4,6,0,"neutral or dissatisfied"
"67",66,27957,"Male","Loyal Customer",22,"Business travel","Business",1660,2,2,2,2,2,2,2,2,4,3,2,2,4,2,0,0,"neutral or dissatisfied"
"69",68,87976,"Female","Loyal Customer",42,"Business travel","Business",1898,5,5,5,5,5,4,4,5,5,5,5,4,5,3,49,47,"satisfied"
"71",70,41461,"Female","Loyal Customer",53,"Personal Travel","Business",1242,3,4,3,5,3,3,5,1,1,3,1,4,1,4,3,0,"neutral or dissatisfied"
"72",71,15143,"Male","Loyal Customer",35,"Business travel","Business",1042,3,2,2,2,2,4,3,3,3,3,3,3,3,2,0,0,"neutral or dissatisfied"
"74",73,120433,"Male","Loyal Customer",44,"Business travel","Business",366,3,3,2,3,2,5,4,4,4,4,4,3,4,4,5,24,"satisfied"
"75",74,41440,"Female","disloyal Customer",26,"Business travel","Eco Plus",913,1,2,2,2,4,2,3,4,3,2,1,1,4,4,0,0,"neutral or dissatisfied"
"76",75,15963,"Female","Loyal Customer",44,"Personal Travel","Eco",528,2,5,2,3,2,5,4,5,5,2,5,3,5,3,0,0,"neutral or dissatisfied"
"78",77,3608,"Female","Loyal Customer",54,"Personal Travel","Eco",999,2,4,2,4,4,5,5,5,5,2,5,5,5,4,0,0,"neutral or dissatisfied"
"80",79,21276,"Male","disloyal Customer",36,"Business travel","Eco",692,1,1,1,4,1,1,1,1,1,5,3,1,2,1,0,0,"neutral or dissatisfied"
"81",80,58576,"Female","Loyal Customer",61,"Business travel","Business",1585,2,2,3,2,1,1,5,3,3,4,3,4,3,4,24,20,"satisfied"
"82",81,53888,"Female","Loyal Customer",50,"Personal Travel","Eco",140,2,4,2,4,4,4,5,2,2,2,2,3,2,5,0,0,"neutral or dissatisfied"
"84",83,54151,"Male","Loyal Customer",55,"Business travel","Business",1400,3,5,5,5,4,3,2,3,3,3,3,1,3,4,1,0,"neutral or dissatisfied"
"85",84,115641,"Male","disloyal Customer",21,"Business travel","Eco",447,2,2,1,4,1,1,1,1,4,4,3,4,3,1,7,0,"neutral or dissatisfied"
"86",85,58584,"Female","Loyal Customer",31,"Personal Travel","Business",334,2,1,2,4,5,2,5,5,2,4,3,2,4,5,5,0,"neutral or dissatisfied"
"88",87,102623,"Female","Loyal Customer",50,"Business travel","Business",3696,1,1,5,1,2,4,4,5,5,5,5,4,5,5,9,0,"satisfied"
"89",88,31533,"Female","Loyal Customer",21,"Personal Travel","Eco",846,1,4,1,3,3,1,3,3,5,4,5,4,5,3,9,17,"neutral or dissatisfied"
"91",90,70467,"Male","Loyal Customer",45,"Business travel","Business",2580,3,3,3,3,3,4,4,5,5,5,5,3,5,4,0,11,"satisfied"
"92",91,20461,"Female","disloyal Customer",42,"Business travel","Eco",84,3,5,3,1,5,3,5,5,5,5,3,5,4,5,0,34,"neutral or dissatisfied"
"93",92,113346,"Male","Loyal Customer",59,"Business travel","Business",3358,3,3,3,3,3,5,4,4,4,4,4,4,4,3,0,0,"satisfied"
"94",93,115566,"Female","Loyal Customer",54,"Business travel","Eco",308,2,1,4,4,5,3,3,2,2,2,2,4,2,1,83,95,"neutral or dissatisfied"
"96",95,88853,"Female","Loyal Customer",52,"Personal Travel","Eco Plus",406,3,4,3,1,2,5,4,2,2,3,2,3,2,4,0,0,"neutral or dissatisfied"
"98",97,31122,"Male","Loyal Customer",35,"Business travel","Business",2409,3,3,3,3,1,4,3,4,4,4,4,3,4,3,0,0,"satisfied"
"99",98,91231,"Female","Loyal Customer",41,"Personal Travel","Eco",545,2,2,2,3,4,2,4,4,1,3,4,1,4,4,0,0,"neutral or dissatisfied"
"100",99,61426,"Female","disloyal Customer",40,"Business travel","Business",2419,2,2,2,3,4,2,4,4,3,2,3,3,5,4,0,0,"neutral or dissatisfied"
"102",101,125701,"Male","Loyal Customer",67,"Personal Travel","Eco",899,2,5,2,2,2,2,2,2,5,2,4,5,5,2,0,0,"neutral or dissatisfied"
"103",102,94999,"Female","Loyal Customer",38,"Personal Travel","Eco",293,4,4,4,4,5,4,5,5,2,2,4,4,4,5,5,0,"satisfied"
"104",103,56694,"Female","Loyal Customer",50,"Personal Travel","Eco",1085,3,5,3,2,5,5,5,5,5,3,5,3,5,4,0,0,"neutral or dissatisfied"
"105",104,62010,"Male","Loyal Customer",50,"Business travel","Business",2475,5,5,5,5,2,5,4,2,2,2,2,3,2,5,0,0,"satisfied"
"106",105,95868,"Male","Loyal Customer",54,"Business travel","Business",2544,5,5,3,5,5,4,5,3,3,3,3,4,3,5,62,66,"satisfied"
"107",106,123064,"Male","Loyal Customer",56,"Business travel","Business",2556,4,4,4,4,4,5,4,4,4,4,4,3,4,5,117,113,"satisfied"
"109",108,73456,"Female","Loyal Customer",7,"Personal Travel","Eco",1120,3,5,3,3,2,3,2,2,4,4,4,5,5,2,16,13,"neutral or dissatisfied"
"110",109,8851,"Female","Loyal Customer",32,"Business travel","Business",2668,5,5,4,5,4,4,4,4,5,2,5,5,5,4,2,0,"satisfied"
"111",110,64241,"Male","Loyal Customer",45,"Business travel","Eco",1660,4,1,1,1,4,4,4,4,2,5,2,4,3,4,0,7,"neutral or dissatisfied"
"112",111,81723,"Male","disloyal Customer",25,"Business travel","Eco",1310,2,2,2,4,3,2,3,3,1,4,3,1,4,3,0,24,"neutral or dissatisfied"
"113",112,88237,"Female","Loyal Customer",45,"Business travel","Business",2374,5,5,5,5,4,5,4,4,4,4,4,5,4,5,0,0,"satisfied"
"114",113,50619,"Male","Loyal Customer",34,"Personal Travel","Eco",209,3,4,0,1,1,0,1,1,1,5,5,2,3,1,0,0,"neutral or dissatisfied"
"115",114,54444,"Male","Loyal Customer",20,"Personal Travel","Eco Plus",305,3,4,3,3,1,3,1,1,3,3,4,4,5,1,5,2,"neutral or dissatisfied"
"117",116,15941,"Male","disloyal Customer",36,"Business travel","Eco",338,3,4,3,4,2,3,2,2,3,4,3,1,3,2,0,0,"neutral or dissatisfied"
"119",118,36897,"Male","Loyal Customer",40,"Personal Travel","Eco",1368,3,4,2,4,3,2,3,3,4,2,3,3,4,3,0,0,"neutral or dissatisfied"
"120",119,127954,"Male","Loyal Customer",31,"Business travel","Business",1999,4,5,4,4,5,5,5,5,4,4,4,3,4,5,0,4,"satisfied"
"123",122,14527,"Female","Loyal Customer",45,"Business travel","Eco",288,5,1,1,1,1,2,3,5,5,5,5,1,5,3,29,40,"satisfied"
"124",123,47021,"Male","Loyal Customer",59,"Personal Travel","Business",639,2,1,2,3,4,3,3,3,3,2,3,2,3,1,0,11,"neutral or dissatisfied"
"125",124,11224,"Male","Loyal Customer",34,"Personal Travel","Eco",201,3,5,3,3,2,3,5,2,5,2,1,3,1,2,3,8,"neutral or dissatisfied"
"126",125,3921,"Female","Loyal Customer",22,"Personal Travel","Eco",213,3,5,3,4,3,3,1,3,1,5,1,3,2,3,0,17,"neutral or dissatisfied"
"130",129,30046,"Male","Loyal Customer",38,"Business travel","Business",2746,2,2,2,2,2,5,2,4,4,4,4,1,4,5,0,0,"satisfied"
"131",130,1256,"Female","Loyal Customer",17,"Personal Travel","Eco",89,3,4,3,1,5,3,3,5,3,4,5,5,5,5,0,0,"neutral or dissatisfied"
"132",131,73813,"Male","Loyal Customer",15,"Personal Travel","Eco Plus",192,2,4,2,3,5,2,5,5,5,4,5,5,5,5,5,8,"neutral or dissatisfied"
"135",134,61571,"Male","Loyal Customer",40,"Business travel","Business",2400,4,3,4,4,2,4,5,5,5,5,5,3,5,3,0,0,"satisfied"
"137",136,73906,"Female","disloyal Customer",27,"Business travel","Business",2342,3,3,3,4,2,3,2,2,4,3,5,3,5,2,10,0,"neutral or dissatisfied"
"138",137,74090,"Female","Loyal Customer",41,"Business travel","Business",3046,5,5,5,5,3,5,5,4,4,4,4,4,4,5,0,0,"satisfied"
"140",139,100462,"Male","disloyal Customer",48,"Business travel","Business",759,3,3,3,2,2,3,2,2,4,2,5,4,5,2,2,1,"neutral or dissatisfied"
"141",140,54164,"Male","Loyal Customer",13,"Business travel","Eco",1400,2,1,1,1,2,1,2,2,4,3,3,3,4,2,0,0,"neutral or dissatisfied"
"142",141,6147,"Female","Loyal Customer",48,"Business travel","Business",491,3,3,3,3,4,4,4,4,4,4,4,3,4,5,0,0,"satisfied"
"144",143,20310,"Male","disloyal Customer",26,"Business travel","Business",900,5,5,5,3,1,5,1,1,4,3,5,5,5,1,5,0,"satisfied"
"145",144,46896,"Male","Loyal Customer",22,"Business travel","Business",3648,2,2,2,2,3,3,3,3,2,4,3,5,3,3,0,0,"satisfied"
"146",145,7237,"Female","Loyal Customer",53,"Business travel","Business",3769,3,1,5,1,1,3,1,2,4,3,4,1,2,1,180,178,"neutral or dissatisfied"
"147",146,44293,"Female","Loyal Customer",43,"Business travel","Eco",563,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0,"satisfied"
"149",148,68263,"Female","Loyal Customer",69,"Personal Travel","Eco",631,3,5,2,5,3,3,4,5,5,2,5,1,5,1,0,0,"neutral or dissatisfied"
"150",149,5289,"Male","Loyal Customer",59,"Personal Travel","Eco",351,4,3,4,4,1,4,1,1,1,5,4,2,4,1,0,0,"satisfied"
"151",150,109359,"Female","Loyal Customer",56,"Business travel","Business",1189,5,5,3,5,5,4,5,2,2,2,2,4,2,3,9,0,"satisfied"
"152",151,94988,"Male","Loyal Customer",11,"Personal Travel","Eco",562,5,5,5,5,3,5,3,3,4,4,5,1,2,3,0,0,"satisfied"
"153",152,53605,"Female","Loyal Customer",25,"Business travel","Eco",1874,4,3,3,3,4,4,3,4,3,1,4,5,1,4,86,78,"satisfied"
"154",153,11005,"Female","disloyal Customer",29,"Business travel","Eco",158,4,0,4,1,2,4,2,2,1,5,2,2,2,2,0,0,"satisfied"
"156",155,49480,"Female","Loyal Customer",42,"Business travel","Business",266,1,1,1,1,4,3,4,4,4,4,4,2,4,1,0,0,"satisfied"
"157",156,120440,"Male","disloyal Customer",15,"Business travel","Eco",449,1,4,1,2,3,1,4,3,1,3,5,4,5,3,0,0,"neutral or dissatisfied"
"158",157,55823,"Female","disloyal Customer",49,"Business travel","Business",1416,3,4,4,2,2,3,2,2,4,2,5,5,4,2,0,0,"neutral or dissatisfied"
"159",158,107792,"Male","Loyal Customer",41,"Business travel","Business",2388,2,2,2,2,5,5,4,4,4,4,4,5,4,5,29,18,"satisfied"
"160",159,80531,"Male","Loyal Customer",43,"Business travel","Business",1678,1,1,2,1,3,4,4,2,2,2,2,4,2,5,0,0,"satisfied"
"161",160,128145,"Male","Loyal Customer",60,"Business travel","Business",1972,5,5,2,5,4,3,5,5,5,5,5,5,5,3,0,0,"satisfied"
"164",163,16145,"Female","Loyal Customer",42,"Business travel","Eco",212,5,3,3,3,5,3,5,5,5,5,5,5,5,2,82,72,"satisfied"
"165",164,44418,"Male","disloyal Customer",18,"Business travel","Eco Plus",342,1,1,1,3,3,1,3,3,2,1,4,1,3,3,32,41,"neutral or dissatisfied"
"166",165,95746,"Male","Loyal Customer",47,"Business travel","Business",3556,2,2,2,2,3,5,3,5,5,5,5,3,5,4,0,0,"satisfied"
"167",166,41134,"Female","disloyal Customer",27,"Business travel","Eco",191,4,4,4,4,5,4,5,5,2,1,3,2,3,5,16,12,"neutral or dissatisfied"
"168",167,3214,"Female","Loyal Customer",67,"Personal Travel","Eco Plus",693,3,1,3,1,5,1,2,1,1,3,1,1,1,4,100,91,"neutral or dissatisfied"
"169",168,74101,"Male","disloyal Customer",38,"Business travel","Business",641,5,5,5,3,2,5,2,2,5,5,4,3,5,2,0,0,"satisfied"
"171",170,88134,"Female","Loyal Customer",60,"Business travel","Business",3823,2,2,1,2,4,4,4,5,5,4,5,3,5,3,1,0,"satisfied"
"172",171,64475,"Male","disloyal Customer",23,"Business travel","Business",282,4,5,4,1,4,4,4,4,3,3,5,3,4,4,9,1,"satisfied"
"173",172,123812,"Male","disloyal Customer",25,"Business travel","Business",544,3,5,3,1,2,3,2,2,4,2,5,4,4,2,0,0,"neutral or dissatisfied"
"174",173,88893,"Female","Loyal Customer",38,"Business travel","Business",2955,3,3,3,3,3,5,5,4,4,4,4,3,4,3,0,0,"satisfied"
"176",175,97762,"Male","Loyal Customer",19,"Personal Travel","Eco",587,3,4,3,5,1,3,1,1,5,3,5,4,4,1,0,0,"neutral or dissatisfied"
"178",177,25137,"Male","Loyal Customer",44,"Personal Travel","Eco",1249,3,4,3,3,5,3,5,5,5,2,3,4,4,5,25,6,"neutral or dissatisfied"
"179",178,18412,"Female","Loyal Customer",22,"Personal Travel","Eco",284,3,5,3,1,3,3,3,3,4,5,5,3,5,3,34,35,"neutral or dissatisfied"
"181",180,127062,"Female","Loyal Customer",45,"Business travel","Business",3947,3,4,4,4,3,4,4,3,3,3,3,4,3,3,25,16,"neutral or dissatisfied"
"182",181,112169,"Male","Loyal Customer",46,"Personal Travel","Eco",895,4,5,4,1,1,4,1,1,2,1,3,3,5,1,40,25,"satisfied"
"183",182,127798,"Female","Loyal Customer",54,"Business travel","Business",1634,3,2,5,2,4,4,4,3,3,3,3,3,3,1,90,77,"neutral or dissatisfied"
"184",183,91778,"Male","Loyal Customer",62,"Personal Travel","Eco",588,2,1,1,2,1,1,1,1,1,4,3,2,3,1,0,0,"neutral or dissatisfied"
"186",185,67482,"Female","Loyal Customer",32,"Personal Travel","Eco",641,3,4,3,2,2,3,2,2,4,5,4,5,4,2,0,0,"neutral or dissatisfied"
"187",186,91108,"Female","Loyal Customer",65,"Personal Travel","Eco",581,4,4,4,2,4,4,4,1,1,4,1,4,1,5,1,3,"neutral or dissatisfied"
"189",188,51281,"Female","Loyal Customer",30,"Business travel","Eco Plus",326,0,0,0,5,2,0,2,2,4,1,3,4,5,2,0,0,"satisfied"
"190",189,6528,"Female","Loyal Customer",67,"Personal Travel","Eco",599,3,1,3,2,1,1,2,3,3,3,3,2,3,1,0,0,"neutral or dissatisfied"
"191",190,121232,"Male","Loyal Customer",51,"Business travel","Business",2075,5,5,5,5,2,5,5,5,5,5,5,3,5,3,0,0,"satisfied"
"192",191,72478,"Female","Loyal Customer",47,"Business travel","Business",964,5,5,4,5,5,4,5,5,5,5,5,4,5,3,1,3,"satisfied"
"193",192,122788,"Female","Loyal Customer",38,"Business travel","Eco",599,1,4,4,4,1,1,1,1,2,3,3,3,3,1,8,0,"neutral or dissatisfied"
"194",193,5528,"Male","Loyal Customer",54,"Business travel","Business",3138,1,1,1,1,5,5,4,4,4,4,4,3,4,4,0,0,"satisfied"
"195",194,107726,"Female","Loyal Customer",57,"Personal Travel","Eco",251,1,5,0,5,3,2,3,1,1,0,3,5,1,3,0,4,"neutral or dissatisfied"
"197",196,75522,"Female","disloyal Customer",20,"Business travel","Eco",337,4,0,4,3,4,4,4,4,3,5,4,4,5,4,0,0,"satisfied"
"198",197,125687,"Female","Loyal Customer",45,"Business travel","Business",759,2,2,2,2,2,2,1,2,2,2,2,3,2,4,23,94,"neutral or dissatisfied"
"199",198,79908,"Female","Loyal Customer",51,"Business travel","Business",2344,2,2,2,2,3,4,5,3,3,3,3,3,3,3,0,0,"satisfied"
"202",201,95851,"Female","Loyal Customer",46,"Business travel","Business",580,3,3,3,3,3,5,4,4,4,4,4,3,4,5,18,16,"satisfied"
"203",202,44992,"Male","Loyal Customer",53,"Business travel","Eco",359,1,3,3,3,1,1,1,1,1,2,3,4,4,1,0,0,"neutral or dissatisfied"
"204",203,70631,"Female","Loyal Customer",61,"Personal Travel","Eco",1217,0,4,0,1,5,5,5,4,4,0,4,4,4,4,0,0,"satisfied"
"205",204,13761,"Female","Loyal Customer",61,"Business travel","Eco Plus",384,4,5,5,5,3,3,2,4,4,4,4,3,4,5,96,102,"satisfied"
"206",205,74968,"Male","Loyal Customer",16,"Personal Travel","Eco",2586,3,5,3,4,4,3,4,4,5,2,4,5,4,4,45,42,"neutral or dissatisfied"
"207",206,12371,"Female","Loyal Customer",44,"Business travel","Business",2903,2,1,1,1,2,3,3,2,2,2,2,3,2,1,0,1,"neutral or dissatisfied"
"208",207,8378,"Female","Loyal Customer",17,"Business travel","Business",3170,5,5,5,5,5,5,5,5,1,3,3,1,5,5,16,0,"satisfied"
"209",208,82080,"Female","Loyal Customer",50,"Business travel","Eco",1276,2,2,2,2,4,2,3,2,2,2,2,1,2,1,35,49,"neutral or dissatisfied"
"211",210,101228,"Male","Loyal Customer",47,"Business travel","Business",2204,5,5,5,5,4,4,4,2,2,2,2,4,2,3,6,0,"satisfied"
"212",211,85577,"Female","Loyal Customer",80,"Business travel","Business",3464,1,1,1,1,2,4,4,4,4,4,4,5,4,4,0,0,"satisfied"
"213",212,2717,"Female","Loyal Customer",38,"Personal Travel","Eco",562,5,3,5,3,4,5,4,4,1,1,3,4,3,4,0,0,"satisfied"
"215",214,91613,"Male","Loyal Customer",59,"Business travel","Business",1199,4,2,2,2,5,4,4,4,4,4,4,3,4,1,0,15,"neutral or dissatisfied"
"216",215,88865,"Female","Loyal Customer",22,"Business travel","Business",1968,4,4,4,4,4,4,4,4,1,2,3,4,4,4,0,0,"neutral or dissatisfied"
"218",217,51191,"Female","Loyal Customer",56,"Business travel","Eco Plus",308,4,2,2,2,5,3,4,4,4,4,4,5,4,2,0,0,"satisfied"
"220",219,66384,"Male","disloyal Customer",38,"Business travel","Business",1562,3,3,3,5,2,3,2,2,5,2,5,3,4,2,2,25,"neutral or dissatisfied"
"221",220,41934,"Male","Loyal Customer",64,"Personal Travel","Eco",129,1,0,1,2,1,1,1,1,3,2,5,4,4,1,13,9,"neutral or dissatisfied"
"222",221,25381,"Male","Loyal Customer",67,"Personal Travel","Eco",591,2,4,2,3,5,2,3,5,4,4,4,3,5,5,0,0,"neutral or dissatisfied"
"223",222,14757,"Female","Loyal Customer",62,"Business travel","Business",3692,2,2,4,2,3,4,2,4,4,4,4,1,4,2,0,0,"satisfied"
"224",223,94013,"Male","Loyal Customer",57,"Business travel","Business",1859,1,1,1,1,2,5,5,4,4,4,4,5,4,5,16,15,"satisfied"
"225",224,80107,"Female","disloyal Customer",27,"Business travel","Eco",986,2,1,1,3,1,2,1,1,1,5,1,1,3,1,24,32,"neutral or dissatisfied"
"227",226,110384,"Female","Loyal Customer",52,"Business travel","Eco",919,3,4,4,4,3,2,2,3,3,3,3,1,3,1,85,72,"neutral or dissatisfied"
"230",229,54060,"Male","Loyal Customer",55,"Business travel","Eco",1416,5,2,2,2,5,5,5,5,4,3,5,2,5,5,1,0,"satisfied"
"232",231,97165,"Female","Loyal Customer",9,"Personal Travel","Eco",715,4,4,4,3,1,4,1,1,5,4,4,4,4,1,11,4,"satisfied"
"234",233,1887,"Male","disloyal Customer",64,"Business travel","Business",293,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,0,"neutral or dissatisfied"
"237",236,35719,"Male","Loyal Customer",59,"Personal Travel","Eco",2521,1,1,1,3,1,3,5,2,3,3,2,5,2,5,0,2,"neutral or dissatisfied"
"238",237,85669,"Female","Loyal Customer",13,"Business travel","Business",2544,3,1,3,3,3,3,3,3,4,3,4,3,3,3,0,0,"neutral or dissatisfied"
"239",238,1137,"Male","Loyal Customer",44,"Personal Travel","Eco",158,4,4,4,2,2,4,2,2,2,5,1,4,5,2,0,0,"neutral or dissatisfied"
"240",239,8358,"Male","Loyal Customer",54,"Business travel","Business",1741,1,1,1,1,4,4,5,4,4,4,4,4,4,3,0,0,"satisfied"
